Car_id,Date,Customer_Name,Gender,Annual_Income,Dealer_Name,Company,Model,Price,Dealer_No,Phone,Transmission_Auto,Transmission_Manual,Color_Black,Color_Pale_White,Color_Red,Body_Style_Hardtop,Body_Style_Hatchback,Body_Style_Passenger,Body_Style_Sedan,Body_Style_SUV,Engine_Double_Overhead_Camshaft,Engine_Overhead_Camshaft,Dealer_Region_Aurora,Dealer_Region_Austin,Dealer_Region_Greenville,Dealer_Region_Janesville,Dealer_Region_Middletown,Dealer_Region_Pasco,Dealer_Region_Scottsdale,Car_Age
C_CND_000017,2022-01-02,Zoe,0,535000,Capitol KIA,Hyundai,Accent,18000,38701-8047,7814646,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000018,2022-01-02,Zoey,0,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,31000,99301-3882,7456650,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000019,2022-01-02,Aaliyah,1,685000,Chrysler Plymouth,Toyota,Land Cruiser,33000,53546-9427,7627010,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
C_CND_000020,2022-01-02,Abigail,1,455000,Classic Chevy,Honda,Accord,21000,85257-3102,6736704,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
C_CND_000021,2022-01-02,Adrianna,1,13500,Clay Johnson Auto Sales,Toyota,4Runner,25000,78758-7841,7889827,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
C_CND_000022,2022-01-02,Joshua,1,2500000,Classic Chevy,Infiniti,I30,21000,85257-3102,6183219,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000023,2022-01-02,Marcus,1,585000,Diehl Motor CO Inc,Audi,A4,12000,06457-3834,8097778,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2
C_CND_000024,2022-01-02,Arthur,1,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,18000,99301-3882,7959858,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000025,2022-01-02,Lizzie,1,672000,Suburban Ford,Volkswagen,Jetta,22000,53546-9427,8570849,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000026,2022-01-02,Florian,1,801250,Tri-State Mack Inc,Dodge,Viper,31250,85257-3102,8520534,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
C_CND_000027,2022-01-02,Cassandre,0,820000,U-Haul CO,Buick,Regal,19000,78758-7841,6362556,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000028,2022-01-02,Syrielle,1,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,41000,53546-9427,6281210,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000029,2022-01-02,Sloane,1,13500,Race Car Help,Chrysler,LHS,41000,78758-7841,6292720,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000030,2022-01-02,Sofia,1,1020000,Ryder Truck Rental and Leasing,Saturn,LW,13000,06457-3834,7698986,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
C_CND_000031,2022-01-02,Sophia,1,210000,Saab-Belle Dodge,Mitsubishi,3000GT,20000,60504-7114,8847858,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
C_CND_000032,2022-01-02,Sophie,1,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,14000,38701-8047,8344679,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
C_CND_000033,2022-01-02,Stella,1,635000,Star Enterprises Inc,Honda,Accord,19000,99301-3882,6827044,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
C_CND_000034,2022-01-02,Suri,1,675000,Tri-State Mack Inc,Honda,Civic,43000,85257-3102,7954038,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000035,2022-01-02,Sury,1,880000,U-Haul CO,Jaguar,S-Type,16000,78758-7841,7400390,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000036,2022-01-03,Haley,1,13500,Diehl Motor CO Inc,Volvo,S40,42000,06457-3834,7153628,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
C_CND_000037,2022-01-03,Hannah,1,13500,Enterprise Rent A Car,Mercury,Mountaineer,21000,60504-7114,6125796,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2
C_CND_000038,2022-01-03,Haylee,1,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,61000,38701-8047,7438037,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
C_CND_000039,2022-01-03,Hayley,1,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,39000,99301-3882,6837588,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2
C_CND_000040,2022-01-03,Harry,0,13500,Star Enterprises Inc,Nissan,Sentra,16000,99301-3882,7213857,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000041,2022-01-03,Henry,1,13500,Suburban Ford,Chrysler,Sebring Coupe,26000,53546-9427,7704004,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
C_CND_000042,2022-01-03,Hersh,0,13500,Tri-State Mack Inc,Volvo,S80,21000,85257-3102,8018700,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
C_CND_000043,2022-01-03,Hershel,1,967500,U-Haul CO,Chevrolet,Lumina,42500,78758-7841,6793858,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000044,2022-01-03,Aicha,1,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,45001,06457-3834,6739543,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
C_CND_000045,2022-01-03,Aisha,1,575000,Enterprise Rent A Car,Pontiac,Bonneville,36001,60504-7114,6091237,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2
C_CND_000046,2022-01-03,Aissatou,1,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,12000,38701-8047,6547535,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000047,2022-01-03,Alana,1,1250000,Hatfield Volkswagen,BMW,323i,21001,99301-3882,8689761,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000048,2022-01-03,Chloe,1,730000,Rabun Used Car Sales,Acura,TL,29000,85257-3102,6404807,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
C_CND_000049,2022-01-03,Valentine,1,4060000,Race Car Help,Nissan,Altima,20000,78758-7841,7117432,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000050,2022-01-03,Aurore,1,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,22000,06457-3834,7836930,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2
C_CND_000051,2022-01-03,Nikita,1,1180000,Saab-Belle Dodge,Dodge,Stratus,31000,60504-7114,7316398,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
C_CND_000052,2022-01-03,Justine,1,1360000,Progressive Shippers Cooperative Association No,Audi,A4,27000,53546-9427,7680267,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000053,2022-01-03,Sylvia,0,640000,C & M Motors Inc,Mercury,Cougar,33000,60504-7114,6402878,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
C_CND_000054,2022-01-03,Chloe,1,615000,Scrivener Performance Engineering,Chevrolet,Malibu,14000,38701-8047,7890478,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2
C_CND_000055,2022-01-03,Tamar,1,520000,Chrysler of Tri-Cities,Acura,RL,17000,99301-3882,8523869,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2
C_CND_000056,2022-01-04,Hazel,1,1876000,Iceberg Rentals,Saturn,SW,25600,53546-9427,8852693,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000057,2022-01-04,Heaven,1,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,17000,85257-3102,6444851,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
C_CND_000058,2022-01-04,Heidi,1,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,21000,78758-7841,6052630,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2
C_CND_000059,2022-01-04,Hershy,1,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,12000,06457-3834,8939776,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
C_CND_000060,2022-01-04,Hudson,1,1800000,C & M Motors Inc,Mercedes-B,SLK,17000,60504-7114,7177888,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2
C_CND_000061,2022-01-04,Amare,1,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,36000,06457-3834,6139882,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000062,2022-01-04,Alexandria,1,393000,Iceberg Rentals,Mercedes-B,C-Class,17000,53546-9427,7181009,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000063,2022-01-04,Alexis,1,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,41000,85257-3102,7936565,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000064,2022-01-04,Alyssa,0,280000,Nebo Chevrolet,Audi,A6,14000,06457-3834,7419754,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2
C_CND_000065,2022-01-04,Coline,1,1151000,Scrivener Performance Engineering,Dodge,Intrepid,31100,38701-8047,8637804,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
C_CND_000066,2022-01-04,Annaelle,1,1650000,Star Enterprises Inc,Buick,Park Avenue,61000,99301-3882,8380613,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000067,2022-01-04,Anais,1,13500,Suburban Ford,Dodge,Viper,26000,53546-9427,6595676,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
C_CND_000068,2022-01-04,Taylor,1,895000,Chrysler Plymouth,Toyota,Sienna,12000,53546-9427,7244029,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2
C_CND_000069,2022-01-04,Tessa,0,660000,Classic Chevy,Volvo,S40,42000,85257-3102,6741165,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
C_CND_000070,2022-01-04,Toby,1,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,21000,78758-7841,8822935,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000071,2022-01-05,Heidy,1,1636000,Nebo Chevrolet,Cadillac,DeVille,22600,06457-3834,8026457,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2
C_CND_000072,2022-01-05,Helen,0,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,45000,60504-7114,8872334,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2
C_CND_000073,2022-01-05,Imani,0,745000,Pars Auto Sales,Mitsubishi,Eclipse,25000,38701-8047,6204993,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2
C_CND_000074,2022-01-05,Ingrid,1,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,62000,99301-3882,7031644,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
C_CND_000075,2022-01-05,Irene,1,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,22700,53546-9427,7179280,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000076,2022-01-05,Iris,0,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,45000,85257-3102,6245275,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2
C_CND_000077,2022-01-05,Hunter,1,1200000,Chrysler of Tri-Cities,Lincoln,Town car,17000,99301-3882,7072635,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000078,2022-01-05,James,1,490000,Motor Vehicle Branch Office,Ford,Focus,49000,78758-7841,6766211,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000079,2022-01-05,Ilan,1,410000,Classic Chevy,Audi,A6,15000,85257-3102,8011357,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2
C_CND_000080,2022-01-05,Isaac,1,930000,Clay Johnson Auto Sales,Acura,TL,28000,78758-7841,7539127,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000081,2022-01-05,Aaron,1,480000,Tri-State Mack Inc,Nissan,Pathfinder,46000,85257-3102,6559063,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
C_CND_000082,2022-01-05,Israel,0,1360000,Enterprise Rent A Car,Ford,Mustang,43000,60504-7114,8082987,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2
C_CND_000083,2022-01-05,Amara,1,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,41000,60504-7114,7328070,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
C_CND_000084,2022-01-05,Amaya,0,1100000,Pars Auto Sales,Chevrolet,Corvette,45000,38701-8047,7078803,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2
C_CND_000085,2022-01-05,Amelia,1,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,22001,99301-3882,8636283,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000086,2022-01-05,Amia,1,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,25001,53546-9427,7109521,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
C_CND_000087,2022-01-05,Amina,1,1908000,Rabun Used Car Sales,Dodge,Dakota,12800,85257-3102,7305344,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
C_CND_000088,2022-01-05,Aminata,1,13500,Race Car Help,Chrysler,300M,26000,78758-7841,8941079,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2
C_CND_000089,2022-01-05,Alizee,1,13500,Tri-State Mack Inc,BMW,328i,18000,85257-3102,6136111,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
C_CND_000090,2022-01-05,Caroline,1,2550000,U-Haul CO,Oldsmobile,Bravada,19000,78758-7841,8001444,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000091,2022-01-05,Wadia,1,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,22500,06457-3834,7696195,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2
C_CND_000092,2022-01-05,Mauricio,1,13500,Race Car Help,Dodge,Ram Pickup,21001,78758-7841,8188037,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000093,2022-01-05,Maximilian,1,1115000,Saab-Belle Dodge,Chrysler,Concorde,46500,60504-7114,8351089,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
C_CND_000094,2022-01-05,Elisa,1,13500,Chrysler of Tri-Cities,Chrysler,300M,16000,99301-3882,6130679,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2
C_CND_000095,2022-01-05,Tzipora,1,2110000,Diehl Motor CO Inc,Volvo,V70,39000,06457-3834,6260413,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000096,2022-01-05,Tziporah,0,13500,Enterprise Rent A Car,Nissan,Quest,19000,60504-7114,8750989,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2
C_CND_000097,2022-01-05,Tzippy,1,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,26000,38701-8047,6784534,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000098,2022-01-05,Tzivia,1,13500,Hatfield Volkswagen,Honda,Accord,43000,99301-3882,7944735,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
C_CND_000099,2022-01-05,Valentina,0,13500,Iceberg Rentals,Nissan,Maxima,54000,53546-9427,8099375,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
C_CND_000100,2022-01-05,Valerie,1,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,22000,85257-3102,6641303,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2
C_CND_000101,2022-01-06,Isabel,1,13500,Race Car Help,Lexus,ES300,16001,78758-7841,8158584,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2
C_CND_000102,2022-01-06,Isabela,0,760000,Ryder Truck Rental and Leasing,BMW,328i,16001,06457-3834,7159142,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2
C_CND_000103,2022-01-06,Ivan,1,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,12000,38701-8047,7495544,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2
C_CND_000104,2022-01-06,Abel,1,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,38000,06457-3834,6682438,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000105,2022-01-06,Amira,1,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,42000,06457-3834,7189696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
C_CND_000106,2022-01-06,Amirah,1,13500,Saab-Belle Dodge,Nissan,Pathfinder,21000,60504-7114,8844816,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
C_CND_000107,2022-01-06,Mathias,0,13500,Chrysler Plymouth,Volvo,C70,49000,53546-9427,8002612,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000108,2022-01-06,Noel,1,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,21200,99301-3882,6633882,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000109,2022-01-06,Vanessa,1,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,71000,78758-7841,8884667,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2
C_CND_000110,2022-01-06,Vera,0,365000,Nebo Chevrolet,Chevrolet,Camaro,17000,06457-3834,6759578,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
C_CND_000111,2022-01-09,Isabella,0,481000,Saab-Belle Dodge,Subaru,Outback,57001,60504-7114,6376331,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2
C_CND_000112,2022-01-09,Isabelle,1,700000,Scrivener Performance Engineering,Buick,Park Avenue,62001,38701-8047,6729016,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
C_CND_000113,2022-01-09,Isis,1,1350000,Star Enterprises Inc,Ford,Taurus,69001,99301-3882,7270473,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2
C_CND_000114,2022-01-09,Itzel,1,750000,Suburban Ford,Chevrolet,Cavalier,20001,53546-9427,7281617,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2
C_CND_000115,2022-01-09,Yadiel,1,451000,McKinney Dodge Chrysler Jeep,Audi,A4,27000,85257-3102,7824922,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000116,2022-01-09,Joseph,0,650000,U-Haul CO,Ford,Focus,49000,78758-7841,8944331,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2
C_CND_000117,2022-01-09,Jake,1,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,49000,78758-7841,7757499,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2
C_CND_000118,2022-01-09,James,0,13500,Nebo Chevrolet,Lexus,GS400,12000,06457-3834,6586288,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
C_CND_000119,2022-01-09,Amiya,0,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,25000,38701-8047,8486170,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000120,2022-01-09,Amiyah,1,1300000,Star Enterprises Inc,Chrysler,Concorde,42000,99301-3882,6732905,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2
C_CND_000121,2022-01-09,Angelina,1,470000,Suburban Ford,Chrysler,Sebring Coupe,19000,53546-9427,7212279,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
C_CND_000122,2022-01-09,Aniya,0,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,26750,85257-3102,8144887,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
C_CND_000123,2022-01-09,Benott,1,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,31000,78758-7841,8668755,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2
C_CND_000124,2022-01-09,Lucas,1,1900000,Diehl Motor CO Inc,Saturn,LW,49000,06457-3834,8892301,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
C_CND_000125,2022-01-09,Clara,0,1690000,Enterprise Rent A Car,Hyundai,Sonata,15000,60504-7114,6238423,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2
C_CND_000126,2022-01-09,Clara,1,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,26000,38701-8047,7552575,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
C_CND_000127,2022-01-09,Alexis,1,642000,Suburban Ford,Mercedes-B,SL-Class,17000,53546-9427,6278363,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2
C_CND_000128,2022-01-09,Veronika,0,705000,Pars Auto Sales,Volvo,C70,24000,38701-8047,6323753,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2
C_CND_000129,2022-01-09,Victoria,1,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,19000,99301-3882,8368721,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
C_CND_000130,2022-01-09,Violet,1,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,20000,53546-9427,6328688,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
C_CND_000131,2022-01-10,Izabella,0,1985000,Tri-State Mack Inc,Acura,TL,28501,85257-3102,6553517,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
C_CND_000132,2022-01-10,Jason,1,1275000,New Castle Ford Lincoln Mercury,BMW,323i,15500,60504-7114,8070819,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
